FIPS,State,County,Health_Outcomes_Z-Score_2010,Health_Outcomes_Rank_2010,Health_Factors_Z-Score_2010,Health_Factors_Rank_2010,Mortality_Z-Score_2010,Mortality_Rank_2010,Morbidity_Z-Score_2010,Morbidity_Rank_2010,Health_Behaviors_Z-Score_2010,Health_Behaviors_Rank_2010,Clinical_Care_Z-Score_2010,Clinical_Care_Rank_2010,Social_and_Economic Factors_Z-Score_2010,Social_and_Economic Factors_Rank_2010,Physical_Environment_Z-Score_2010,Physical_Environment_Rank_2010,Smoking_Z-Score_2010,Smoking_Rank_2010,Diet_and_Exercise_Z-Score_2010,Diet_and_Exercise_Rank_2010,Alcohol_Use_Z-Score_2010,Alcohol_Use_Rank_2010,Unsafe_Sex_Z-Score_2010,Unsafe_Sex_Rank_2010,Access_to_Care_Z-Score_2010,Access_to_Care_Rank_2010,Quality_of_Care_Z-Score_2010,Quality_of_Care_Rank_2010,Education_Z-Score_2010,Education_Rank_2010,Employment_Z-Score_2010,Employment_Rank_2010,Income_Z-Score_2010,Income_Rank_2010,Family_and_Social_Support_Z-Score_2010,Family_and_Social_Support_Rank_2010,Community_Safety_Z-Score_2010,Community_Safety_Rank_2010,Air_Quality_Z-Score_2010,Air_Quality_Rank_2010,Built_Environment_Z-Score_2010,Built_Environment_Rank_2010,Premature_death_Deaths_2010,Premature_ death_Aggregate_Population_2010,Premature death_YPLL_Rate_2010,Premature_death_95%_CI_Low_2010,Premature_death_95%_CI_High_2010,Premature_death_Z-Score_2010,Poor_or_fair_health_Sample_Size_2010,Poor_or_fair_health_%_Fair/Poor_2010,Poor_or_fair_health__95%_CI_Low_2010,Poor_or_fair_health_95%_CI_High_2010,Poor_or_fair_health_Z-Score_2010,Poor_physical_health_days_Sample Size_2010,Poor_physical_health_days_Physically_Unhealthy_Days_2010,Poor_physical_health_days_95%_CI_Low_2010,Poor_physical_health_days_95%_CI_High_2010,Poor_physical_health_days_Z-Score_2010,Poor_mental_health_days_Sample_Size_2010,Poor_mental_health_days_Mentally_Unhealthy_Days_2010,Poor_mental_health_days_95%_CI_Low_2010,Poor_mental_health_days_95%_CI_High_2010,Poor_mental_health_days_Z-Score_2010,Low_birthweight_Sample_Size_2010,Low_birthweight_Percentage_LBW_2010,Low_birthweight_95%_CI_Low_2010,Low_birthweight_95%_CI_High_2010,Low_birthweight_Z-Score_2010,Adult_smoking_Sample_Size_2010,Adult_smoking_Percentage_Smokers_2010,Adult_smoking_95%_CI_Low_2010,Adult_smoking_95%_CI_High_2010,Adult_smoking_Z-Score_2010,Adult_obesity_Percentage_Obese_2010,Adult_obesity_95%_CI_Low_2010,Adult_obesity_95%_CI_High_2010,Adult_obesity_Z-Score_2010,Binge_drinking_Sample_Size_2010,Binge_drinking_Percentage_2010,Binge_drinking_95%_CI_Low_2010,Binge_drinking_95%_CI_High_2010,Binge_drinking_Z-Score_2010,Motor_vehicle_mortality_rate_2010,Motor_vehicle_95%_CI_Low_2010,Motor_vehicle_95%_CI_High_2010,Motor_vehicle_Z-Score_2010,Chlamydia_Cases_2010,Chlamydia_Population_2010,Chlamydia_Rate_per_100000_2010,Chlamydia_Z-Score_2010,Teen_Births_2010,Teen_Birth_Rate_2010,Teen_Birth_95%_CI_Low_2010,Teen_Birth_95%_CI_High_2010,Teen_Birth_Z-Score_2010,Uninsured_Adults_Percentage_2010,Uninsured_Adults_95%_CI_Low_2010,Uninsured_Adults_95%_CI_High_2010,Uninsured_Adults_Z-Score_2010,Primary_Care_Provider_Count_2010,Primary_Care_Provider_Rate_2010,Previous_Primary_Care_Population_2010,Previous_Primary_Care_Provider_Count_2010,Previous_Primary_Care_Provider_Rate_2010,Previous_Primary_Care_Z-Score_2010,Preventable_Hospital_Stays_Medicare_Enrollees_2010,Preventable_Hospital_Stays_ACSC_Rate_2010,Preventable_Hospital_Stays_95%_CI_Low_2010,Preventable_Hospital_Stays_95%_CI_High_2010,Preventable_Hospital_Stays_Z-Score_2010,Diabetic_Screening_Number_of_Diabetics_2010,Diabetic_Screening_Percentage_HbA1c_2010,Diabetic_Screening_95%_CI_Low_2010,Diabetic_Screening_95%_CI_High_2010,Diabetic_Screening_Z-Score_2010,Hospice_Use_Percentage_2010,Hospice_Use_95%_CI_Low_2010,Hospice_Use_95%_CI_High_2010,Hospice_Use_Z-Score_2010,High_School_Graduation_Enrollment_2010,High_School_Graduation_Diplomas_2010,High_School_Graduation_AFGR_2010,High_School_Graduation_Z-Score_2010,College_Degree_Percentage_2010,College_Degree_95%_CI_Low_2010,College_Degree_95%_CI_High_2010,College_Degree_Z-Score_2010,Unemployment_Percentage_2010,Unemployment_95%_CI_Low_2010,Unemployment_95%_CI_High_2010,Unemployment_Z-Score_2010,Children_in_Poverty_Percentage_2010,Children_in_Poverty_95%_CI_Low_2010,Children_in_Poverty_95%_CI_High_2010,Children_in_Poverty_Z-Score_2010,Income_Inequality_GINI_2010,Income_Inequality_Z-Score_2010,Social_Support_Sample_Size_2010,No_Social_Emotional_Support_Percentage_2010,No_Social_Emotional_Support_95%_CI_Low_2010,No_Social_Emotional_Support_95%_CI_High_2010,No_Social_Emotional_Support_95%_CI_High_2010,Single_Parent_Households_Percentage_2010,Single_Parent_Households_95%_CI_Low_2010,Single_Parent_Households_95%_CI_High_2010,Single_Parent_Households_Z-Score_2010,Violent_Crime_Aggregate_Population_2010,Violent_Crimes_Count_2010,Violent_Crime_Rate_2010,Violent_Crime_Z-Score_2010,Homicide_Rate_2010,Homicide_95%_CI_Low_2010,Homicide_95%_CI_High_2010,Homicide_95%_CI_High_2010,Air_Pollution_PM_Days_2010,Air_Pollution_PM_Z-Score_2010,Air_Pollution_Ozone_Days_2010,Air_Pollution_Ozone_Days_2010,Healthy_Food_Accessible_Zip_Codes_2010,Healthy_Food_Total_Zip_Codes_2010,Healthy_Food_Percentage_Access_2010,Healthy_Food_Access_Z-Score_2010,Liquor_Store_Population_2010,Liquor_Store_Count_2010,Liquor_Store_Rate_2010,Liquor_Store_Z-Score_2010
36001,New York,Albany,-0.06,27,-0.25,12,0.08,36,-0.14,18,-0.04,22,-0.16,4,-0.12,16,0.07,57,-0.02,24,0.00,30,-0.02,20,0.00,37,-0.09,9,-0.07,13,-0.04,12,-0.12,7,-0.03,23,0.00,32,0.08,55,0.02,47,0.04,54,182711,54045469,6099,6061,6138,,43927,16,16,17,,42820,3.5,3.4,3.6,,,,,,,,8,,,,43880,,,,,,,,,,,,16,,,,,,,,,,,28,,,,,,,,,,,,,,3500252,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,57858542,,,,,,,,,,,,,,,,,,,
36003,New York,Allegany,0.61,52,0.21,46,0.45,54,0.15,44,0.11,45,0.07,46,0.07,38,-0.05,9,0.10,52,0.00,30,0.05,56,-0.03,10,0.05,53,0.02,38,-0.02,17,0.08,46,0.06,54,-0.04,6,-0.01,30,-0.03,18,-0.01,24,3042,831746,6453,6122,6785,0.16,962,12,10,15,-0.74,927,2.6,2.1,3.1,-1.51,941,2.7,2.2,3.2,-1.02,22323,8,8,8,0.94,962,22,19,25,-0.22,26,22,30,0.00,953,18,15,22,0.60,7,6,8,-1.34,1022,297556,344,0.65,1688,20,19,21,-0.72,14,12,16,-0.59,389,130,297556,491,165,1.24,60306,76,74,78,-0.42,1993,84,82,86,0.24,36,34,39,1.62,3309,2444,74,-0.47,36,35,38,1.36,5,5,5,-1.18,15,13,17,-0.52,44,0.40,607,20,16,24,-0.15,10,9,11,0.13,897805,4607,513,1.52,,,,,4,0.65,6,0.20,20,78,26,-0.85,299637,54,1.8,0.93
36005,New York,Bronx,2.33,62,1.06,62,1.17,61,1.15,62,0.06,39,0.14,59,0.86,62,0.00,37,-0.06,18,-0.01,27,-0.07,2,0.19,62,-0.07,11,0.21,62,0.04,42,0.19,62,0.31,62,0.20,62,0.11,60,0.09,59,-0.09,1,547,139531,7126,6250,8002,0.91,202,17,12,25,0.83,201,4.2,2.8,5.6,1.19,197,3.9,2.5,5.3,0.85,3692,7,6,7,-0.66,200,28,20,37,1.01,26,20,32,0.00,200,18,12,26,0.42,19,15,24,1.38,55,50267,109,-0.74,398,22,20,24,-0.56,16,13,19,0.15,22,44,50267,28,56,-0.95,12626,85,80,90,0.26,511,86,83,89,0.72,18,13,23,-0.83,639,539,84,1.13,19,17,20,-0.65,7,6,7,0.82,23,20,27,0.98,41,-0.37,131,17,11,25,-0.76,8,6,9,-0.77,149155,338,227,-0.26,,,,,1,-0.54,1,-0.72,8,28,29,-0.69,49663,3,0.6,-1.23
36007,New York,Broome,0.25,40,-0.07,26,0.20,41,0.05,36,0.11,42,-0.12,10,-0.02,27,-0.03,13,0.05,45,0.06,46,-0.01,25,0.00,39,-0.03,18,-0.09,7,-0.01,28,-0.02,27,0.03,46,-0.01,22,-0.01,31,-0.04,2,0.01,37,14898,3906913,8426,8263,8590,2.35,1650,27,24,29,3.53,1588,4.4,3.8,4.9,1.47,1601,3.9,3.4,4.4,0.81,158015,10,9,10,2.86,1651,20,18,23,-0.58,25,22,29,-0.09,1628,13,11,16,-1.07,5,5,5,-1.84,14572,1361473,1070,4.97,18644,52,51,52,2.83,11,10,12,-1.39,1300,95,1361473,1444,106,0.06,148608,102,101,104,1.52,6986,68,67,69,-3.64,10,9,11,-1.87,,,,0.00,16,16,17,-0.89,7,7,8,1.94,38,36,40,3.59,48,1.58,874,33,29,37,2.60,23,22,23,5.49,4109578,26166,637,2.29,,,,,12,3.82,4,-0.17,24,26,92,2.84,1371353,115,0.8,-0.81
36009,New York,Cattaraugus,0.94,56,0.49,56,0.84,59,0.10,41,0.24,58,0.11,55,0.17,50,-0.03,15,0.12,55,0.12,58,0.01,32,0.00,34,-0.01,23,0.12,59,0.05,46,0.04,41,0.07,55,0.03,56,-0.02,28,-0.03,24,-0.01,27,2184,538534,6667,6253,7080,0.40,717,13,11,16,-0.46,698,3.4,2.8,4.0,-0.13,694,3.8,3.0,4.5,0.63,14733,7,7,8,0.21,717,25,21,30,0.53,27,23,32,0.59,709,18,15,22,0.51,9,8,11,-0.82,521,196269,266,0.19,1451,26,25,27,-0.08,16,14,18,0.12,219,112,196269,272,139,0.71,60362,61,59,63,-1.49,2337,84,82,85,0.25,28,26,31,0.54,2724,2119,78,0.13,25,24,26,0.05,6,6,6,-0.18,19,16,22,0.20,45,0.62,451,18,14,23,-0.51,10,8,11,0.01,588635,1348,229,-0.24,,,,,0,-0.93,1,-0.72,12,31,39,-0.13,196290,27,1.4,0.16
36011,New York,Cayuga,0.55,49,0.18,44,0.12,39,0.43,56,0.12,48,0.06,43,0.05,35,-0.05,8,0.10,51,0.00,30,0.02,43,0.00,40,0.04,48,0.01,37,0.07,54,-0.02,27,0.01,40,0.00,30,-0.02,24,-0.02,26,-0.03,14,1043,226269,7817,7119,8516,1.67,331,19,15,25,1.42,322,3.7,2.7,4.6,0.29,324,3.6,2.4,4.7,0.34,6741,7,6,7,-0.52,331,28,22,35,1.15,29,23,35,1.23,326,16,12,22,-0.10,14,11,18,0.32,75,81534,92,-0.85,758,33,30,35,0.67,14,11,16,-0.65,48,59,81534,67,82,-0.42,18006,111,107,116,2.22,719,83,80,86,0.06,21,17,25,-0.44,1325,993,75,-0.30,18,17,20,-0.68,6,6,7,0.45,24,20,28,1.03,41,-0.45,205,24,16,35,0.71,11,9,12,0.49,242022,529,219,-0.31,,,,,1,-0.54,2,-0.54,12,33,36,-0.26,80584,8,1.0,-0.53
36013,New York,Chautauqua,0.30,42,0.24,49,0.07,35,0.23,50,0.19,55,-0.06,15,0.05,34,0.07,55,-0.01,26,0.16,60,0.03,51,0.01,45,0.00,27,-0.06,14,0.02,35,-0.03,25,0.09,56,-0.03,14,0.00,34,0.07,57,-0.01,29,848,223231,6521,5854,7189,0.24,222,17,11,26,0.71,220,3.7,2.3,5.1,0.33,220,5.0,3.0,7.0,2.57,6006,7,7,8,0.35,223,27,20,36,0.97,26,20,32,0.00,220,22,15,30,1.59,10,7,13,-0.70,201,81243,247,0.08,582,28,25,30,0.10,14,12,16,-0.53,29,36,81243,29,36,-1.35,20652,79,75,82,-0.21,853,84,81,86,0.21,15,12,19,-1.22,982,712,73,-0.68,18,16,19,-0.75,6,5,6,-0.18,20,17,24,0.47,40,-0.81,137,20,13,29,-0.10,10,8,11,0.06,241055,489,203,-0.40,,,,,2,-0.14,1,-0.72,9,20,45,0.22,80352,6,0.7,-0.98
36015,New York,Chemung,1.17,60,0.19,45,0.09,37,1.08,61,0.09,41,-0.04,19,0.18,52,-0.04,10,0.01,38,0.06,46,-0.02,19,0.05,56,-0.06,12,0.02,41,0.07,51,-0.02,27,0.11,58,0.04,57,-0.01,32,-0.04,2,0.00,33,1477,371695,6428,5947,6910,0.13,547,18,14,22,0.86,529,4.3,3.3,5.2,1.27,534,3.7,2.7,4.7,0.50,10458,7,7,8,-0.15,544,22,18,27,-0.12,29,24,35,1.57,536,21,16,26,1.31,13,11,15,-0.05,300,135357,222,-0.08,1287,32,31,34,0.66,14,12,16,-0.59,88,65,135357,102,75,-0.55,31042,72,69,75,-0.71,1329,86,84,88,0.80,25,21,28,0.07,1941,1523,78,0.23,19,18,20,-0.62,6,5,6,-0.30,24,20,28,1.05,44,0.27,337,15,11,20,-1.13,10,8,11,0.07,403422,1067,264,-0.02,,,,,3,0.26,19,2.59,16,38,42,0.06,134382,16,1.2,-0.17
36017,New York,Chenango,0.31,43,0.13,38,0.26,43,0.04,35,0.04,35,-0.02,27,0.19,53,-0.08,2,-0.05,20,0.08,51,0.00,31,0.01,44,0.02,36,-0.04,18,0.05,47,0.08,46,0.00,39,0.06,60,0.00,37,-0.04,2,-0.04,9,978,243717,6468,5882,7053,0.18,302,21,16,26,1.87,293,5.0,3.8,6.2,2.54,297,5.7,4.1,7.4,3.74,7348,8,8,9,1.34,301,23,18,30,0.08,27,21,34,0.59,300,16,11,22,-0.25,10,8,13,-0.68,242,88641,273,0.23,913,41,38,43,1.60,11,9,13,-1.36,73,83,88641,88,99,-0.07,26125,90,87,94,0.66,1168,86,84,88,0.71,21,18,25,-0.35,1108,784,71,-0.94,21,19,23,-0.38,6,5,6,-0.18,25,21,29,1.22,45,0.60,197,23,16,33,0.59,12,10,14,0.95,264598,626,237,-0.19,,,,,0,-0.93,1,-0.72,7,17,41,0.01,88189,11,1.2,-0.07
36019,New York,Clinton,0.13,36,0.13,37,-0.03,28,0.17,45,0.01,29,0.05,41,0.07,37,0.00,38,-0.02,25,-0.01,27,0.06,61,-0.03,12,0.01,32,0.04,45,0.03,39,0.11,50,-0.02,30,-0.03,11,-0.02,26,-0.01,36,0.01,41,579,141671,6781,5946,7617,0.53,242,13,10,18,-0.41,235,4.6,2.7,6.5,1.83,239,3.0,2.1,3.9,-0.63,3839,7,6,8,-0.17,242,20,15,26,-0.53,27,21,35,0.76,238,14,9,21,-0.85,18,13,22,1.04,78,51787,151,-0.50,438,36,32,39,1.03,15,13,18,-0.10,28,55,51787,40,77,-0.52,14874,66,62,70,-1.13,644,84,81,87,0.22,19,15,23,-0.72,816,617,76,-0.20,17,16,19,-0.79,7,6,7,0.82,19,15,22,0.17,41,-0.37,145,28,19,39,1.60,11,9,14,0.75,,,,0.00,,,,,0,-0.93,1,-0.72,8,21,38,-0.16,51146,2,0.4,-1.62
36021,New York,Columbia,0.45,45,-0.08,23,0.63,58,-0.17,16,0.00,27,0.01,31,-0.11,17,0.03,48,-0.10,10,0.06,46,0.04,55,-0.01,33,0.08,55,-0.07,12,0.07,53,-0.12,7,-0.02,27,-0.01,25,-0.03,13,-0.01,35,0.04,50,821,231437,6245,5597,6892,-0.07,282,16,11,22,0.28,281,3.1,2.2,3.9,-0.72,279,3.7,2.7,4.7,0.55,5424,8,7,9,0.78,283,22,16,28,-0.20,25,20,32,-0.09,283,24,18,31,2.42,14,11,17,0.16,103,82166,125,-0.65,497,22,20,24,-0.56,16,13,18,0.06,69,84,82166,81,99,-0.09,19281,94,89,98,0.90,921,85,83,88,0.61,20,16,24,-0.59,1134,853,75,-0.26,22,20,24,-0.25,7,6,7,1.07,17,14,20,-0.18,42,-0.06,177,15,11,22,-1.12,9,8,11,-0.09,246143,522,212,-0.35,,,,,4,0.65,0,-0.90,8,26,31,-0.57,82101,10,1.2,-0.12
36023,New York,Cortland,0.62,53,0.16,41,0.42,53,0.20,48,0.03,32,0.05,42,0.11,45,-0.03,19,0.12,56,-0.05,17,-0.04,9,-0.01,29,0.00,26,0.06,50,0.03,41,0.08,46,0.00,37,0.00,36,-0.01,33,-0.04,2,0.02,45,762,173229,7438,6592,8285,1.25,263,13,8,18,-0.62,256,3.5,2.0,4.9,-0.06,254,3.0,2.0,4.0,-0.55,4268,7,6,8,-0.25,263,18,13,24,-1.00,27,22,33,0.59,257,21,15,28,1.37,15,11,18,0.34,117,62955,186,-0.29,366,27,24,30,0.02,19,16,21,0.95,28,45,62955,46,73,-0.60,16968,73,69,77,-0.65,589,83,80,86,0.06,35,30,41,1.47,917,593,65,-1.88,29,26,31,0.50,5,5,5,-1.18,15,12,18,-0.48,45,0.62,167,20,14,28,-0.14,9,7,11,-0.15,187897,292,155,-0.70,,,,,2,-0.14,4,-0.17,10,33,30,-0.59,62590,11,1.8,0.85
36025,New York,Delaware,0.22,39,0.24,48,0.33,45,-0.12,19,0.02,31,0.13,58,0.07,36,0.02,42,0.01,39,-0.01,25,0.05,57,-0.03,17,0.08,57,0.05,48,0.00,31,0.03,40,0.05,51,0.01,45,-0.03,19,-0.04,2,0.06,59,519,136572,7065,6169,7960,0.84,174,18,12,25,0.85,172,3.5,2.3,4.6,-0.06,173,3.6,2.5,4.8,0.39,3795,8,7,8,0.42,177,29,21,38,1.21,25,19,31,-0.47,177,15,9,22,-0.61,9,6,12,-0.89,127,48483,262,0.16,362,21,19,23,-0.62,15,12,17,-0.28,31,64,48483,44,91,-0.25,11066,103,97,109,1.56,437,87,84,91,1.09,23,18,29,-0.19,641,464,72,-0.70,24,22,27,0.01,7,6,7,0.82,19,15,22,0.13,41,-0.45,99,,,,0.00,10,8,12,0.06,145222,358,247,-0.13,,,,,0,-0.93,1,-0.72,5,12,42,0.04,48444,8,1.7,0.66
36027,New York,Dutchess,-0.78,11,-0.46,10,-0.38,15,-0.40,11,-0.18,10,-0.03,22,-0.23,9,-0.01,24,-0.07,14,-0.05,14,-0.03,15,-0.03,9,0.00,29,-0.03,20,-0.05,11,-0.08,14,-0.09,6,-0.01,24,0.01,46,0.00,38,-0.02,23,613,127399,6911,6033,7788,0.67,224,14,9,20,-0.31,218,3.8,2.7,4.9,0.58,212,3.1,2.1,4.0,-0.47,3093,7,6,8,-0.49,221,23,17,31,0.11,25,20,32,-0.13,223,17,12,24,0.17,21,16,26,1.79,49,46977,104,-0.77,292,24,21,27,-0.31,20,17,23,1.26,28,60,46977,40,85,-0.36,14739,95,90,100,1.01,542,75,71,79,-1.91,38,32,45,1.84,732,586,80,0.48,20,18,22,-0.50,6,6,6,0.32,22,18,26,0.68,43,-0.01,142,,,,0.00,11,8,13,0.39,139664,261,187,-0.50,,,,,0,-0.93,1,-0.72,6,35,17,-1.32,46494,9,1.9,1.17
36029,New York,Erie,0.83,55,0.00,28,0.49,56,0.34,54,-0.01,26,-0.16,5,0.10,44,0.07,56,-0.08,13,0.06,45,-0.03,17,0.04,54,-0.10,6,-0.05,15,-0.01,29,-0.01,32,0.04,48,-0.01,23,0.08,56,0.09,58,-0.02,19,2697,824612,5617,5318,5917,-0.76,808,9,7,12,-1.62,786,3.0,2.5,3.5,-0.87,796,3.0,2.5,3.6,-0.54,22502,7,6,7,-0.49,808,19,16,23,-0.72,24,21,29,-0.51,801,14,11,18,-0.78,12,10,13,-0.25,599,295146,203,-0.19,1268,16,16,17,-1.16,16,14,18,0.09,266,91,295146,315,107,0.07,67763,72,70,74,-0.72,2610,83,82,84,0.00,23,21,26,-0.07,3876,3077,79,0.38,31,29,32,0.69,5,5,5,-0.80,12,10,13,-1.10,41,-0.45,496,20,16,26,-0.02,9,8,10,-0.36,876966,2555,291,0.15,,,,,2,-0.14,6,0.20,19,39,49,0.43,292202,34,1.2,-0.22
