36077,New York,Otsego,-0.21,24,-0.22,15,-0.28,18,0.08,37,-0.13,13,0.04,40,-0.10,18,-0.03,14,0.00,29,-0.04,21,-0.03,11,-0.05,3,0.03,39,0.02,39,-0.02,21,-0.02,27,-0.01,33,-0.04,9,-0.02,22,-0.04,2,0.01,38,1393,346430,6992,6470,7515,0.76,381,19,14,24,1.14,373,3.9,3.0,4.9,0.70,374,2.5,1.8,3.2,-1.32,9728,8,7,8,0.47,382,32,26,38,1.90,28,22,34,0.89,378,23,18,29,2.13,18,15,21,1.16,163,123077,132,-0.61,1055,29,28,31,0.29,14,12,16,-0.50,50,41,123077,70,57,-0.92,27518,109,105,113,2.00,1198,83,81,86,0.13,15,13,18,-1.16,2020,1414,70,-1.06,15,14,16,-1.05,7,7,7,1.57,19,15,22,0.15,41,-0.50,234,15,10,20,-1.28,10,8,12,0.22,365256,508,139,-0.80,,,,,2,-0.14,7,0.38,12,26,46,0.28,121701,10,0.8,-0.84
36079,New York,Putnam,-1.38,1,-0.74,6,-0.85,3,-0.53,6,-0.26,7,0.06,44,-0.58,1,0.05,54,-0.12,9,-0.06,11,-0.01,23,-0.08,1,0.04,45,0.02,40,-0.16,3,-0.17,2,-0.20,1,-0.05,2,0.00,37,0.05,53,0.00,34,622,173076,5796,5085,6507,-0.57,263,12,8,17,-0.82,252,3.7,2.5,5.0,0.38,261,3.7,2.6,4.8,0.52,3840,7,7,8,0.34,262,23,17,29,-0.02,25,19,31,-0.43,259,11,7,16,-1.91,15,12,19,0.54,96,62583,153,-0.48,293,13,11,14,-1.58,21,18,24,1.72,90,144,62583,102,163,1.20,18244,88,84,93,0.51,511,80,77,84,-0.61,31,26,37,0.96,762,594,78,0.16,26,24,28,0.17,6,6,6,-0.18,18,15,21,0.03,41,-0.39,157,16,11,24,-0.93,8,6,11,-0.51,187682,358,191,-0.48,,,,,0,-0.93,1,-0.72,9,30,30,-0.61,62583,7,1.1,-0.30
36081,New York,Queens,-0.25,22,-0.20,16,-0.59,8,0.34,53,-0.30,6,0.08,48,0.03,31,0.00,36,-0.16,4,-0.10,5,-0.07,4,0.03,51,0.02,34,0.06,53,-0.02,19,-0.12,7,-0.01,34,0.06,59,0.11,59,0.07,56,-0.07,3,779,285116,4772,4276,5268,-1.70,254,9,6,14,-1.63,247,2.6,1.7,3.4,-1.55,246,2.7,1.8,3.5,-1.09,7942,7,6,7,-0.51,253,17,12,24,-1.17,24,19,30,-0.55,251,19,12,27,0.65,9,6,11,-1.00,65,100603,65,-1.01,136,6,5,7,-2.31,16,14,18,0.12,69,70,100603,73,73,-0.61,19675,74,70,78,-0.56,658,77,74,81,-1.36,20,16,25,-0.54,1398,1249,89,1.90,37,34,39,1.38,5,4,5,-1.68,5,4,6,-2.28,39,-1.05,149,18,11,28,-0.47,6,4,7,-1.70,,,,0.00,,,,,4,0.65,13,1.48,7,9,78,2.03,99285,24,2.4,2.04
36083,New York,Rensselaer,0.13,35,0.04,32,0.04,31,0.09,39,0.08,40,-0.02,26,-0.04,26,0.02,43,0.01,36,0.05,42,0.03,48,0.00,41,0.00,25,-0.02,25,0.05,48,-0.07,17,-0.05,13,0.01,41,0.02,50,0.01,43,0.01,40,18247,6333467,5239,5134,5343,-1.18,3057,21,19,23,1.86,2958,3.2,2.9,3.5,-0.58,2959,3.4,3.0,3.7,0.00,215302,8,8,8,1.05,3051,15,13,17,-1.61,23,21,26,-0.98,2991,13,12,15,-1.08,6,5,6,-1.68,10050,2255175,446,1.26,12526,27,26,27,0.01,18,16,19,0.61,2418,107,2255175,2613,116,0.26,317461,78,77,79,-0.29,10023,76,75,77,-1.64,14,13,15,-1.32,,,,0.00,28,28,29,0.41,5,5,5,-1.18,17,16,19,-0.08,43,-0.01,1745,32,29,35,2.45,9,9,9,-0.24,6791575,43240,637,2.29,,,,,7,1.84,10,0.93,64,79,81,2.21,2264661,215,0.9,-0.61
36085,New York,Richmond,0.11,34,-0.24,13,-0.15,23,0.26,51,-0.10,17,-0.10,13,-0.06,23,0.03,46,0.01,40,-0.05,17,-0.05,8,-0.02,19,-0.10,7,0.00,33,-0.02,23,-0.11,12,-0.06,11,0.00,33,0.11,61,0.11,61,-0.08,2,1632,431957,6376,5937,6816,0.08,494,13,10,17,-0.47,488,3.3,2.6,4.0,-0.26,490,4.0,3.0,5.0,1.02,12086,7,7,8,0.32,494,23,19,28,0.06,27,22,32,0.47,489,21,16,28,1.45,11,9,13,-0.39,382,155292,246,0.07,1062,28,26,29,0.11,14,12,16,-0.43,99,64,155292,132,85,-0.36,30587,91,88,95,0.73,1223,84,82,86,0.19,40,36,44,2.07,1815,1253,69,-1.21,26,24,27,0.13,5,5,5,-0.68,15,13,17,-0.50,40,-0.61,309,22,17,29,0.38,9,8,10,-0.11,464158,1556,335,0.42,,,,,2,-0.14,8,0.57,10,32,31,-0.54,154731,19,1.2,-0.11
36087,New York,Rockland,-1.04,8,-0.81,4,-0.80,5,-0.24,15,-0.35,4,-0.12,11,-0.34,6,-0.01,29,-0.19,1,-0.06,7,-0.07,5,-0.03,14,-0.09,10,-0.04,19,-0.12,7,-0.13,5,-0.04,17,-0.02,16,-0.03,17,0.03,48,-0.04,6,4547,1345667,6033,5794,6273,-0.30,807,16,13,19,0.30,784,3.6,2.9,4.2,0.14,794,3.4,2.8,4.0,0.04,40898,8,8,8,1.06,803,23,20,28,0.14,25,21,29,-0.47,795,15,12,19,-0.37,7,6,8,-1.45,860,477377,180,-0.32,2291,21,20,22,-0.64,12,10,14,-1.11,674,142,477377,707,148,0.90,57494,79,76,81,-0.22,1974,82,80,84,-0.20,22,19,24,-0.30,,,,0.00,27,26,28,0.31,5,5,5,-1.05,13,11,15,-0.82,43,0.10,481,22,17,27,0.25,9,8,10,-0.24,1435503,9161,638,2.30,,,,,7,1.84,19,2.59,12,14,86,2.47,478876,38,0.8,-0.89
36089,New York,St. Lawrence,0.60,51,0.61,59,0.51,57,0.09,40,0.22,56,0.15,60,0.26,56,-0.02,23,0.04,43,0.17,61,0.03,47,-0.01,26,0.02,35,0.13,61,0.07,52,0.17,60,0.05,50,0.01,43,-0.03,14,-0.04,15,0.02,48,2333,836538,4862,4581,5143,-1.60,620,16,11,21,0.27,601,2.7,2.0,3.3,-1.41,606,3.2,2.4,4.1,-0.21,32927,7,6,7,-0.53,620,14,11,17,-1.88,24,20,29,-0.64,613,12,8,16,-1.53,8,7,9,-1.14,589,294965,200,-0.21,1345,18,17,19,-0.95,13,11,14,-0.96,385,131,294965,414,140,0.75,61735,68,66,70,-1.00,2218,83,81,84,-0.10,20,18,23,-0.48,3406,2772,81,0.68,39,38,40,1.65,5,5,5,-1.30,14,12,16,-0.68,44,0.40,359,24,18,31,0.75,6,5,6,-1.63,887046,1591,179,-0.55,,,,,4,0.65,8,0.57,18,27,67,1.42,295927,36,1.2,-0.13
36091,New York,Saratoga,-1.18,2,-0.75,5,-0.76,6,-0.42,9,-0.12,14,-0.15,6,-0.50,3,0.01,41,-0.06,19,-0.02,24,0.00,27,-0.04,7,-0.05,15,-0.09,6,-0.08,9,-0.16,3,-0.16,2,-0.05,3,-0.05,7,0.02,45,0.00,32,1280,308965,7219,6635,7803,1.01,446,15,12,19,0.18,441,3.9,3.0,4.8,0.66,439,2.9,1.9,4.0,-0.68,8418,8,7,8,0.39,447,25,20,31,0.39,30,24,36,1.70,445,19,15,23,0.66,15,12,17,0.36,179,111284,161,-0.44,884,25,24,27,-0.14,15,12,18,-0.19,64,58,111284,84,75,-0.55,28662,123,119,127,3.08,1440,83,81,84,-0.11,32,29,37,1.10,1452,1055,73,-0.65,18,17,20,-0.68,7,7,7,1.69,22,18,26,0.78,41,-0.42,280,20,13,28,-0.19,11,9,13,0.57,329816,520,158,-0.68,,,,,1,-0.54,0,-0.90,12,47,26,-0.86,109920,14,1.3,-0.02
36093,New York,Schenectady,0.19,37,-0.26,11,0.28,44,-0.09,23,-0.03,23,-0.17,3,-0.05,24,0.00,33,0.00,27,-0.03,23,-0.03,13,0.03,49,-0.10,8,-0.07,11,0.00,30,-0.08,14,-0.03,25,-0.03,12,0.09,57,0.00,39,0.00,30,1808,602892,4935,4611,5258,-1.52,722,14,11,18,-0.11,709,3.2,2.5,3.8,-0.57,711,2.5,1.9,3.1,-1.40,17107,6,6,7,-1.05,720,20,17,24,-0.55,25,21,30,-0.17,717,18,15,22,0.44,10,9,12,-0.61,265,215473,123,-0.66,801,17,16,18,-1.13,13,11,14,-0.96,160,75,215473,228,106,0.06,38995,69,66,72,-0.94,1321,85,83,87,0.47,35,31,39,1.43,2787,2274,82,0.71,33,31,34,0.94,5,5,5,-1.55,7,6,9,-1.86,40,-0.70,444,15,11,19,-1.24,7,6,8,-0.92,643825,720,112,-0.97,,,,,3,0.26,7,0.38,10,21,48,0.36,214664,31,1.4,0.28
36095,New York,Schoharie,-0.39,20,0.06,34,0.02,29,-0.41,10,-0.10,16,0.08,47,0.09,42,0.00,34,0.00,30,-0.06,11,0.00,29,-0.05,6,0.09,59,-0.02,26,0.05,43,0.13,53,-0.03,22,0.00,29,-0.05,4,-0.04,2,0.04,52,1532,407245,6807,6326,7287,0.55,497,11,9,15,-1.00,490,3.0,2.2,3.8,-0.84,486,2.9,2.2,3.7,-0.68,12582,8,7,8,0.82,495,23,18,28,-0.03,25,20,31,-0.26,486,16,12,21,-0.13,8,6,10,-1.16,466,150440,310,0.45,1095,32,30,34,0.60,12,10,14,-1.08,163,110,150440,225,150,0.93,38371,73,71,76,-0.61,1255,85,83,87,0.51,33,29,36,1.13,1892,1394,74,-0.50,30,28,31,0.58,5,5,5,-0.80,16,13,18,-0.38,43,0.10,292,14,10,20,-1.42,10,9,12,0.34,449764,2458,547,1.73,,,,,3,0.26,4,-0.17,7,17,41,0.01,150213,18,1.2,-0.16
36097,New York,Schuyler,-1.05,7,0.16,40,-0.71,7,-0.34,13,-0.05,21,0.09,51,0.12,46,-0.01,30,0.00,30,-0.06,11,0.01,33,0.00,35,0.04,47,0.05,49,0.11,59,0.01,35,0.00,35,0.01,40,0.00,37,-0.04,2,0.04,51,332,88807,6342,5301,7383,0.04,129,13,8,22,-0.39,128,3.8,1.9,5.7,0.50,128,2.9,1.6,4.2,-0.79,2070,6,5,7,-1.72,129,,,,0.00,24,19,31,-0.55,129,14,8,24,-0.86,17,11,22,0.82,46,32196,143,-0.54,156,15,13,18,-1.31,17,15,20,0.55,8,25,32196,13,40,-1.25,8660,92,85,98,0.75,401,83,80,87,0.09,39,32,49,2.03,434,330,76,-0.14,18,15,20,-0.76,7,7,7,1.32,17,14,20,-0.11,39,-0.86,86,,,,0.00,9,7,12,-0.10,95969,94,98,-1.05,,,,,0,-0.93,1,-0.72,2,18,11,-1.65,31950,4,1.3,-0.06
36099,New York,Seneca,-0.17,26,0.16,42,-0.08,27,-0.10,21,0.23,57,-0.04,16,0.01,30,-0.03,16,0.00,30,0.20,62,0.03,49,0.01,43,0.05,52,-0.10,5,0.08,57,-0.03,25,-0.02,26,0.02,54,-0.04,10,-0.05,1,0.01,43,201,53111,5034,3996,6259,-1.41,77,17,9,29,0.63,75,3.2,1.4,5.0,-0.55,74,2.4,0.2,4.5,-1.56,1308,6,5,8,-0.97,77,,,,0.00,24,18,31,-0.55,75,,,,0.00,14,8,21,0.25,17,19415,88,-0.87,144,33,28,38,0.71,15,13,18,-0.07,7,37,19415,12,62,-0.83,4709,98,89,107,1.23,240,83,78,87,-0.11,27,18,40,0.39,197,132,67,-1.52,18,16,19,-0.74,6,5,6,0.07,19,15,23,0.18,40,-0.75,44,,,,0.00,10,9,11,0.25,,,,0.00,,,,,0,-0.93,1,-0.72,1,14,7,-1.87,19038,2,1.1,-0.43
36101,New York,Steuben,0.53,48,0.38,52,0.25,42,0.28,52,0.33,60,0.03,35,0.09,41,-0.07,4,0.18,60,0.11,57,0.03,50,0.00,42,-0.02,20,0.06,51,-0.01,26,0.04,41,0.05,49,0.03,55,-0.02,27,-0.03,18,-0.04,8,381,95557,6168,5224,7112,-0.15,119,,,,0.00,115,3.1,1.9,4.3,-0.67,116,3.7,1.7,5.7,0.50,2529,7,6,8,-0.39,118,,,,0.00,30,23,39,2.00,117,17,10,27,0.12,17,12,23,1.00,84,34724,242,0.05,218,29,25,32,0.21,17,14,19,0.27,9,26,34724,22,63,-0.79,6856,70,64,76,-0.86,307,91,88,94,2.02,25,19,33,0.14,425,294,69,-1.19,20,18,22,-0.48,6,5,6,-0.30,18,14,21,-0.03,39,-0.86,72,,,,0.00,12,9,14,0.85,102836,128,124,-0.89,,,,,0,-0.93,0,-0.90,3,8,38,-0.19,34238,5,1.5,0.31
36103,New York,Suffolk,-0.40,18,-0.53,8,-0.32,17,-0.07,25,-0.18,9,-0.03,24,-0.39,5,0.07,58,-0.06,17,-0.09,6,0.00,26,-0.02,18,-0.02,22,-0.01,30,-0.10,8,-0.11,12,-0.15,3,-0.02,21,-0.02,23,0.10,60,-0.02,18,1149,270165,6760,6183,7337,0.50,359,14,10,19,-0.22,350,4.0,3.1,4.9,0.87,357,4.0,3.0,5.1,1.05,7960,8,7,8,0.56,360,31,26,38,1.79,28,23,35,1.15,357,19,14,25,0.76,15,12,18,0.41,157,98236,160,-0.44,759,32,30,35,0.63,13,11,15,-0.71,69,71,98236,89,91,-0.25,26680,96,93,100,1.10,1164,84,82,86,0.22,22,18,26,-0.29,1413,1161,82,0.80,19,18,21,-0.55,6,6,6,0.45,21,18,24,0.59,43,0.05,224,25,19,33,1.04,10,8,11,0.02,291326,620,213,-0.34,,,,,1,-0.54,1,-0.72,15,28,54,0.69,97022,8,0.8,-0.84
36105,New York,Sullivan,1.50,61,0.57,58,1.29,62,0.21,49,0.13,50,0.12,56,0.28,59,0.04,51,0.13,57,-0.06,7,0.03,52,0.03,52,0.11,60,0.01,35,0.08,55,0.09,49,0.03,47,0.05,58,0.03,51,-0.03,23,0.07,60,13441,4132424,5721,5586,5856,-0.65,2979,13,12,15,-0.36,2925,3.2,2.9,3.5,-0.50,2928,3.2,2.8,3.5,-0.29,137569,7,7,7,0.20,2968,20,18,22,-0.59,23,21,26,-0.94,2946,17,15,19,0.14,12,11,12,-0.34,3192,1469715,217,-0.10,6325,19,18,19,-0.89,15,14,17,-0.13,1417,94,1469715,1683,115,0.23,298662,75,74,76,-0.50,10275,79,79,80,-0.89,26,25,27,0.24,19706,16731,85,1.22,31,31,32,0.76,5,5,5,-1.05,7,6,7,-1.96,42,-0.26,1782,23,20,26,0.44,7,7,7,-1.06,4371346,8851,202,-0.41,,,,,5,1.05,20,2.77,82,115,71,1.67,1456783,242,1.7,0.68
36107,New York,Tioga,-0.63,15,-0.22,14,-0.59,9,-0.04,31,0.04,37,-0.04,17,-0.16,11,-0.07,5,-0.03,22,0.08,54,-0.01,24,-0.01,32,0.03,43,-0.08,8,0.05,45,-0.06,19,-0.07,8,-0.02,18,-0.06,1,-0.04,2,-0.03,16,1029,210917,8644,7897,9390,2.59,245,15,9,22,0.03,239,3.5,2.5,4.5,0.01,242,3.9,2.6,5.2,0.86,6085,8,7,8,0.60,246,29,22,37,1.30,24,19,30,-0.64,243,15,10,23,-0.34,20,16,24,1.61,204,76588,266,0.19,655,36,33,39,1.08,20,18,23,1.38,41,54,76588,49,64,-0.78,18251,81,76,85,-0.07,681,84,81,86,0.19,19,16,24,-0.62,939,654,70,-1.11,20,18,22,-0.51,7,6,7,0.94,20,17,23,0.41,43,0.07,151,28,19,38,1.52,10,8,13,0.35,227450,817,359,0.57,,,,,0,-0.93,4,-0.17,13,56,23,-0.98,75754,17,2.2,1.73
36109,New York,Tompkins,-1.18,3,-0.83,3,-0.88,2,-0.30,14,-0.30,5,0.02,33,-0.49,4,-0.06,6,-0.17,2,-0.01,25,-0.06,6,-0.05,2,0.14,61,-0.13,1,-0.15,4,-0.22,1,-0.03,24,-0.05,5,-0.05,8,-0.04,2,-0.02,22,514,142546,5250,4565,5935,-1.17,242,10,7,14,-1.31,234,3.4,2.3,4.6,-0.11,237,3.2,2.0,4.4,-0.32,4103,8,7,9,0.67,240,22,16,28,-0.26,28,22,35,0.85,240,14,9,21,-0.71,15,11,19,0.41,52,51285,101,-0.79,391,31,28,34,0.52,15,13,18,-0.13,21,41,51285,33,64,-0.77,13359,68,64,73,-0.98,543,84,81,87,0.16,31,25,38,0.88,802,593,74,-0.46,20,18,22,-0.46,5,5,6,-0.55,15,12,17,-0.57,39,-0.94,165,18,12,27,-0.48,9,7,11,-0.28,151764,99,65,-1.26,,,,,0,-0.93,1,-0.72,7,14,50,0.50,50565,5,1.0,-0.54
36111,New York,Ulster,0.04,33,0.02,30,0.04,32,0.01,33,0.11,44,-0.02,28,-0.13,13,0.05,53,0.08,48,0.05,42,0.01,38,-0.02,20,-0.01,24,0.00,32,-0.02,18,-0.04,20,-0.03,21,-0.04,7,0.00,45,-0.01,34,0.06,57,670,285777,4718,4211,5225,-1.76,372,12,9,17,-0.77,363,2.8,2.1,3.5,-1.17,365,3.4,2.5,4.3,0.08,6137,7,6,7,-0.55,372,14,11,19,-1.73,25,20,31,-0.13,366,12,9,17,-1.35,9,6,11,-1.02,229,100407,228,-0.04,357,8,7,9,-2.10,27,24,31,3.60,103,103,100407,139,138,0.71,18596,64,61,68,-1.28,564,89,87,92,1.52,32,27,38,1.07,1043,786,75,-0.24,53,50,56,3.17,4,4,4,-2.18,13,11,16,-0.78,47,1.20,237,18,13,26,-0.52,6,5,7,-1.57,301770,343,114,-0.96,,,,,0,-0.93,1,-0.72,6,15,40,-0.06,100509,9,0.9,-0.71
36113,New York,Warren,-0.70,14,-0.14,19,-0.19,21,-0.51,7,0.01,30,-0.11,12,-0.07,22,0.03,45,0.05,44,-0.05,14,0.02,44,-0.01,27,-0.06,14,-0.05,17,-0.01,25,-0.01,32,-0.04,15,0.00,27,0.00,37,-0.02,26,0.05,56,1888,508877,6377,5953,6801,0.08,561,13,10,17,-0.44,549,3.3,2.6,3.9,-0.38,538,3.9,3.0,4.7,0.77,12610,7,7,8,0.06,561,26,22,31,0.76,27,22,32,0.47,556,17,13,22,0.29,14,12,16,0.25,360,182742,197,-0.22,933,21,19,22,-0.67,17,15,19,0.37,157,87,182742,242,132,0.59,46564,77,74,79,-0.35,1758,80,78,82,-0.71,25,22,28,0.16,2916,2236,77,-0.04,29,27,30,0.48,6,5,6,-0.43,15,13,18,-0.45,43,0.13,327,18,13,23,-0.64,8,6,9,-0.85,545266,1528,280,0.08,,,,,0,-0.93,8,0.57,13,57,23,-1.01,181820,37,2.0,1.35
36115,New York,Washington,0.32,44,0.13,36,0.34,46,-0.02,32,0.16,53,0.04,38,-0.05,25,-0.02,21,0.10,54,0.05,42,0.02,39,-0.01,31,0.05,50,-0.01,27,0.12,61,-0.04,20,-0.03,19,-0.06,1,-0.03,16,-0.01,33,-0.01,28,705,180545,5965,5310,6619,-0.38,233,11,7,18,-0.96,226,3.0,1.8,4.1,-0.92,228,2.2,1.5,2.9,-1.87,4493,7,6,7,-0.69,232,25,18,33,0.48,24,19,31,-0.51,226,19,13,26,0.67,14,11,18,0.27,100,66087,151,-0.49,411,27,24,29,-0.01,15,13,18,-0.07,83,127,66087,106,160,1.15,16040,79,74,83,-0.21,488,89,86,92,1.46,25,20,30,0.09,973,759,78,0.16,25,23,27,0.10,6,6,6,-0.05,15,12,17,-0.55,42,-0.12,146,19,12,28,-0.32,10,8,12,0.19,,,,0.00,,,,,2,-0.14,1,-0.72,9,23,39,-0.10,65843,15,2.3,1.79
36117,New York,Wayne,-0.04,28,0.00,27,0.06,34,-0.10,20,0.12,46,-0.03,25,-0.02,28,-0.08,1,0.09,50,-0.01,27,0.03,46,0.01,46,0.02,38,-0.05,16,0.03,40,0.01,35,-0.04,16,0.01,48,-0.03,18,-0.03,25,-0.05,5,684,173690,6916,6146,7685,0.67,222,17,11,24,0.62,218,4.0,2.8,5.1,0.76,216,2.6,1.6,3.6,-1.20,4475,7,6,8,-0.18,224,28,21,35,1.03,27,21,33,0.47,219,14,9,22,-0.71,19,15,23,1.36,73,63368,115,-0.71,429,30,27,33,0.39,15,13,18,-0.13,24,39,63368,29,46,-1.15,14691,85,80,90,0.25,549,90,87,92,1.67,19,15,24,-0.70,1063,705,66,-1.62,18,16,20,-0.74,6,5,6,-0.43,18,14,21,-0.03,38,-1.22,143,11,6,18,-2.12,9,7,10,-0.38,187316,317,169,-0.61,,,,,3,0.26,1,-0.72,6,20,30,-0.61,62425,5,0.8,-0.88
36119,New York,Westchester,-0.91,9,-0.95,2,-0.85,3,-0.06,28,-0.53,1,-0.13,8,-0.30,7,0.01,40,-0.17,3,-0.28,2,-0.07,3,-0.02,25,-0.13,3,0.00,34,-0.14,5,-0.13,5,-0.04,18,0.00,34,0.00,44,0.04,52,-0.03,12,1001,259559,6414,5835,6994,0.12,320,12,9,17,-0.68,316,4.0,2.9,5.2,0.90,317,3.6,2.6,4.5,0.33,7827,7,6,7,-0.77,321,27,22,33,0.91,25,20,31,-0.09,317,16,11,22,-0.23,19,15,22,1.25,210,92889,226,-0.05,723,32,30,35,0.65,14,12,16,-0.43,43,47,92889,53,57,-0.92,14695,82,77,86,0.02,470,88,85,91,1.20,31,26,36,0.86,1540,1161,75,-0.24,21,20,23,-0.35,6,6,6,0.07,16,13,19,-0.29,40,-0.81,199,22,16,30,0.35,10,9,12,0.22,274929,497,181,-0.54,,,,,2,-0.14,0,-0.90,12,22,55,0.75,91598,5,0.5,-1.34
36121,New York,Wyoming,-0.71,12,-0.08,24,-0.11,24,-0.60,3,-0.09,18,0.10,53,-0.07,21,-0.02,22,-0.09,11,0.03,37,0.01,36,-0.04,8,0.03,42,0.07,54,-0.01,27,0.06,44,-0.09,5,0.00,31,-0.02,20,-0.03,18,0.02,46,7348,2642365,4772,4617,4926,-1.70,1950,13,11,15,-0.50,1913,2.9,2.5,3.4,-0.94,1931,3.0,2.6,3.4,-0.58,87658,8,8,8,0.70,1950,14,12,17,-1.73,19,17,22,-2.76,1926,12,10,15,-1.35,7,6,7,-1.43,2485,949355,262,0.16,4099,20,19,20,-0.78,16,15,17,0.09,2072,219,949355,2290,241,2.77,208051,65,64,66,-1.21,5752,76,75,78,-1.58,16,15,18,-1.02,11219,8969,80,0.46,45,44,46,2.28,5,5,5,-1.30,9,8,11,-1.47,54,3.01,1154,24,21,28,0.80,8,7,8,-0.76,2847124,7847,276,0.05,,,,,3,0.26,13,1.48,61,85,72,1.70,948080,141,1.5,0.36
36123,New York,Yates,-0.87,10,-0.12,22,-0.34,16,-0.53,5,-0.11,15,0.00,30,-0.10,19,0.08,60,0.00,30,-0.06,7,-0.01,22,-0.03,15,0.03,44,-0.03,21,-0.04,14,-0.12,7,0.11,59,0.00,35,-0.06,3,-0.04,15,0.12,62,405,119087,6114,5267,6960,-0.21,159,12,8,20,-0.64,150,2.4,1.3,3.5,-1.83,154,4.0,2.1,5.8,0.97,2957,5,4,6,-2.26,160,18,12,26,-0.92,26,21,34,0.30,159,15,9,22,-0.57,17,13,22,1.00,43,42613,101,-0.79,203,21,18,24,-0.67,16,13,19,0.03,26,62,42613,31,73,-0.61,6537,91,84,98,0.71,178,80,74,86,-0.77,20,15,27,-0.56,432,370,86,1.33,15,13,16,-1.10,6,6,7,0.57,14,11,16,-0.75,37,-1.55,109,23,15,33,0.47,8,6,10,-0.49,126398,239,189,-0.49,,,,,1,-0.54,1,-0.72,5,19,26,-0.81,42153,5,1.2,-0.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,67840,5696,4632,6932,-0.68,111,,,,0.00,110,2.7,1.5,3.9,-1.39,108,3.2,1.3,5.1,-0.29,2077,6,5,7,-1.81,111,,,,0.00,24,18,31,-0.64,108,14,8,23,-0.94,15,9,20,0.36,47,24732,190,-0.26,150,19,16,22,-0.87,16,13,19,0.21,16,65,24732,20,81,-0.44,5290,69,62,76,-0.90,179,79,73,85,-0.88,27,20,38,0.44,264,222,84,1.09,21,18,24,-0.38,5,5,5,-1.18,26,21,31,1.44,43,0.21,65,,,,0.00,10,7,12,0.05,73490,55,75,-1.20,,,,,1,-0.54,0,-0.90,2,10,20,-1.16,24403,8,3.3,3.60